"filename", "language", "JSON", "JSON with Comments", "Log", "JavaScript", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 9, 39, 179
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\components\Modals.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 19, 28, 183
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\components\PlayersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 9, 59, 273
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\components\RoundConfigPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 275, 0, 0, 7, 21, 303
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\components\RoundRankingBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 270, 0, 0, 6, 101, 377
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\components\RoundTimer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 3, 42, 222
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\components\StatsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 3, 35, 215
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\hooks\useAdminSocket.ts", "TypeScript", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 21, 33, 196
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 10, 45, 285
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\dashboard\types.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\results\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 15, 32, 340
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\admin\setup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 5, 13, 150
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\dashboard\components\DashboardHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 2, 6, 64
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\dashboard\components\KPISection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\pages\dashboard\components\RankingPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 4, 48
